"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0097191","extrinsic apoptotic signaling pathway","1/7","203/11561",0.116653409038636,0.172315607467007,0.106876595097381,"STX4",1
"BP","GO:0010632","regulation of epithelial cell migration","1/7","204/11561",0.117197820566786,0.172315607467007,0.106876595097381,"CTSH",1
"BP","GO:2000116","regulation of cysteine-type endopeptidase activity","1/7","204/11561",0.117197820566786,0.172315607467007,0.106876595097381,"CTSH",1
"BP","GO:0001894","tissue homeostasis","1/7","209/11561",0.119915566480771,0.175442971649207,0.108816303521571,"CTSH",1
"BP","GO:0030072","peptide hormone secretion","1/7","219/11561",0.125329550253806,0.182357094624206,0.11310470160991,"STX4",1
"BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","1/7","220/11561",0.125869375077314,0.182357094624206,0.11310470160991,"ACE",1
"BP","GO:0072659","protein localization to plasma membrane","1/7","223/11561",0.127487136473,0.183804269575151,0.11400229372905,"STX4",1
"BP","GO:0048863","stem cell differentiation","1/7","225/11561",0.12856421776645,0.184461703751862,0.114410059034471,"ACE",1
"BP","GO:0002449","lymphocyte mediated immunity","1/7","229/11561",0.130714961751809,0.186645882885996,0.115764768757928,"CTSH",1
"BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","1/7","234/11561",0.133396992217836,0.188661460422368,0.117014905454242,"CTSH",1
"BP","GO:0046883","regulation of hormone secretion","1/7","234/11561",0.133396992217836,0.188661460422368,0.117014905454242,"STX4",1
"BP","GO:0031647","regulation of protein stability","1/7","242/11561",0.137673487920576,0.193454060805496,0.119987455753896,"CTSH",1
"BP","GO:0060047","heart contraction","1/7","243/11561",0.138206775806834,0.193454060805496,0.119987455753896,"ACE",1
"BP","GO:0032943","mononuclear cell proliferation","1/7","244/11561",0.138739780981719,0.193454060805496,0.119987455753896,"ACE",1
"BP","GO:0003015","heart process","1/7","253/11561",0.143524126138772,0.198612025775928,0.123186618858009,"ACE",1
"BP","GO:0070371","ERK1 and ERK2 cascade","1/7","255/11561",0.144584214646305,0.198612025775928,0.123186618858009,"CTSH",1
"BP","GO:0034599","cellular response to oxidative stress","1/7","256/11561",0.145113837014735,0.198612025775928,0.123186618858009,"STX4",1
"BP","GO:1903522","regulation of blood circulation","1/7","256/11561",0.145113837014735,0.198612025775928,0.123186618858009,"ACE",1
"BP","GO:0010631","epithelial cell migration","1/7","260/11561",0.14722951682116,0.200583332549929,0.124409297169015,"CTSH",1
"BP","GO:0090132","epithelium migration","1/7","262/11561",0.148285672663572,0.200702324411865,0.124483100379501,"CTSH",1
"BP","GO:0016050","vesicle organization","1/7","264/11561",0.149340707123121,0.200702324411865,0.124483100379501,"STX4",1
"BP","GO:0045765","regulation of angiogenesis","1/7","267/11561",0.150921158390203,0.200702324411865,0.124483100379501,"CTSH",1
"BP","GO:0070661","leukocyte proliferation","1/7","267/11561",0.150921158390203,0.200702324411865,0.124483100379501,"ACE",1
